Rank,"Country name","IQ","Pop2021"
2,"Singapore","108","5896.6860"
1,"Hong kong","108","7552.8100"
3,"South korea","106","51305.1860"
5,"Japan","105","126050.8040"
4,"China","105","1444216.1070"
6,"Taiwan","104","23855.0100"
7,"Italy","102","60367.4770"
10,"Iceland","101","343.3530"
9,"Mongolia","101","3329.2890"
8,"Switzerland","101","8715.4940"
15,"Luxembourg","100","634.8140"
14,"Norway","100","5465.6300"
13,"Austria","100","9043.0700"
12,"Netherlands","100","17173.0990"
11,"United kingdom","100","68207.1160"
22,"Estonia","99","1325.1850"
21,"Finland","99","5548.3600"
20,"Sweden","99","10160.1690"
19,"Belgium","99","11632.3260"
18,"Poland","99","37797.0050"
17,"Canada","99","38067.9030"
16,"Germany","99","83900.4730"
32,"Andorra","98","77.3550"
31,"Latvia","98","1866.9420"
30,"New zealand","98","4860.6430"
29,"Denmark","98","5813.2980"
28,"Hungary","98","9634.1640"
27,"Czech republic","98","10724.5550"
26,"Australia","98","25788.2150"
25,"Spain","98","46745.2160"
24,"France","98","65426.1790"
23,"United states","98","332915.0730"
36,"Malta","97","442.7840"
35,"Belarus","97","9442.8620"
34,"Ukraine","97","43466.8190"
33,"Russia","97","145912.0250"
40,"Slovenia","96","2078.7240"
39,"Uruguay","96","3485.1510"
38,"Moldova","96","4024.0190"
37,"Slovakia","96","5460.7210"
42,"Israel","95","8789.7740"
41,"Portugal","95","10167.9250"
47,"Armenia","94","2968.1270"
46,"Georgia","94","3979.7650"
45,"Kazakhstan","94","18994.9620"
44,"Romania","94","19127.7740"
43,"Vietnam","94","98168.8330"
49,"Bulgaria","93","6896.6630"
48,"Argentina","93","45605.8260"
52,"Ireland","92","4982.9070"
51,"Greece","92","10370.7440"
50,"Malaysia","92","32776.1940"
58,"Brunei","91","441.5320"
57,"Cyprus","91","1215.5840"
56,"Lithuania","91","2689.8620"
55,"Sierra leone","91","8141.3430"
54,"Cambodia","91","16946.4380"
53,"Thailand","91","69950.8500"
64,"Albania","90","2872.9330"
63,"Bosnia and herzegovina","90","3263.4660"
62,"Croatia","90","4081.6510"
61,"Kyrgyzstan","90","6628.3560"
60,"Chile","90","19212.3610"
59,"Turkey","90","85042.7380"
69,"Suriname","89","591.8000"
68,"Mauritius","89","1273.4330"
67,"Costa rica","89","5139.0520"
66,"Laos","89","7379.3580"
65,"Serbia","89","8697.5500"
72,"Samoa","88","200.1490"
71,"Ecuador","88","17888.4750"
