Category;word;count
Climate Change;environment;1604
Climate Change;sustainable;7927
Climate Change;change;9113
Climate Change;climate;8582
Climate Change;energy;421
Developing;development;70165
Developing;developing;24109
Developing;progress;5543
Developing;co;15901
Developing;relations;12964
Developing;struggle;2629
Developing;solution;5809
Developing;region;17986
Developing;continue;11510
Developing;process;13278
Developing;future;4457
Developing;role;4970
Developing;reform;4438
Developing;challenges;8379
Developing;commitment;2187
Economic;economic;57597
Economic;resources;529
Economic;debt;1028
Economic;work;13241
Economic;financial;1844
Economic;globalization;527
Economic;poverty;4570
Economic;trade;325
Economic;food;869
Health;pandemic;1276
Health;covid;1075
Health;health;720
Human Rights;rights;36138
Human Rights;human;40317
Human Rights;social;14668
Human Rights;independence;8356
Human Rights;right;5207
Human Rights;respect;2351
Human Rights;women;332
Human Rights;life;383
Other;would;38207
Other;one;34980
Other;years;20055
Other;great;8612
Other;time;27244
Other;new;46846
Other;twenty;326
Other;may;2783
Other;first;10229
Other;session;29745
Other;many;23569
Other;made;16943
Other;two;5949
Other;without;666
Other;decade;239
Other;among;6152
Other;still;1550
Other;like;16169
Other;order;23249
Other;well;22810
Other;make;2387
Other;year;23426
Other;part;834
Other;last;400
Other;conference;15174
Other;towards;3911
Other;special;2487
Other;non;6091
Other;third;482
Other;system;2809
Other;end;3051
Other;dialogue;515
Other;important;8510
Other;need;13090
Other;today;6727
Other;forty;881
Other;eighth;784
Other;fiftieth;449
Other;take;3404
Other;century;1099
Other;millennium;1944
Other;small;709
Other;outcome;356
Other;document;323
Other;high;303
Other;therefore;729
Other;post;1022
Other;pv;466
Other;implementation;376
Other;based;731
Other;per;395
Other;including;382
Other;th;367
Other;response;330
Peace;peace;82378
Peace;organization;35697
Peace;hope;10326
Peace;law;4297
Peace;efforts;38165
Peace;resolution;4045
Peace;community;39800
Peace;action;4790
Peace;cooperation;17733
Peace;peaceful;3446
Peace;agreement;2622
Peace;treaty;501
Peace;resolutions;317
Peace;mediation;377
Peace;together;725
Peace;multilateralism;383
Politics;charter;4368
Politics;government;39464
Politics;africa;28387
Politics;republic;17980
Politics;political;35639
Politics;principles;2982
Politics;arab;1289
Politics;powers;2447
Politics;national;25126
Politics;council;27271
Politics;delegation;4906
Politics;south;22277
Politics;east;11723
Politics;state;23863
Politics;policy;3960
Politics;support;32415
Politics;secretary;10927
Politics;foreign;3588
Politics;middle;447
Politics;african;7932
Politics;negotiations;4111
Politics;global;20692
Politics;europe;1063
Politics;organisation;442
Politics;democratic;2921
Politics;democracy;987
Politics;regional;2672
Politics;keeping;1589
Politics;member;4709
Politics;members;434
Politics;summit;1401
Politics;goals;4220
Politics;assistance;309
Politics;agenda;3926
Politics;un;842
Science;fact;418
Science;nuclear;15286
Science;education;443
Terrorism;terrorism;8585
Terrorism;terrorist;454
Terrorism;september;449
War/Conflict;security;63469
War/Conflict;war;15304
War/Conflict;problems;18281
War/Conflict;problem;8199
War/Conflict;situation;14977
War/Conflict;operation;13524
War/Conflict;detente;453
War/Conflict;disarmament;3138
War/Conflict;palestinian;1134
War/Conflict;military;1835
War/Conflict;arms;1585
War/Conflict;crisis;3887
War/Conflict;weapons;5508
War/Conflict;regime;494
War/Conflict;conflict;9023
War/Conflict;conflicts;445
War/Conflict;violence;362
War/Conflict;syria;431
